group_i	id_i	group_j	id_j	aij	aji
3	ACH	6	MeOH	637.35	-50
3	ACH	7	H2O	903.8	362.3
3	ACH	8	ACOH	1329	25.34
3	ACH	9	CH2CO	25.77	140.1
3	ACH	10	CHO	347.3	23.39
3	ACH	11	COOC	5.994	85.84
3	ACH	12	HCOO	287.1	18.12
3	ACH	13	CH2O	32.14	52.13
3	ACH	14	CNH2	161.7	-44.85
3	ACH	15	CNH	122.8	-22.31
3	ACH	16	C3N	90.49	-223.9
3	ACH	17	ACNH2	648.2	247.5
3	ACH	18	Pyridine	-4.449	31.87
3	ACH	19	CCN	212.5	-22.97
3	ACH	20	COOH	537.4	62.32
3	ACH	21	CCl	-18.81	4.68
3	ACH	22	CCl2	-144.4	121.3
3	ACH	23	CCl3	-231.9	288.5
3	ACH	24	CCl4	3	-4.7
3	ACH	25	ACCl	187	-97.27
3	ACH	26	CNO2	168	10.38
3	ACH	27	ACNO2	194.9	1824
3	ACH	28	CS2	52.07	21.5
3	ACH	29	CH3SH	-10.43	28.41
3	ACH	30	Furfural	-64.69	157.3
3	ACH	31	DOH	210.4	221.4
3	ACH	32	I	113.3	58.68
3	ACH	33	Br	261.3	-154.2
3	ACH	34	C#C	154.26	-101.12
3	ACH	35	DMSO	169.9	-2.504
3	ACH	36	ACRY	383.9	-123.6
3	ACH	37	ClCC	-259.1	395.8
3	ACH	38	ACF	389.3	-237.2
3	ACH	39	DMF	245.6	-133.9
3	ACH	40	CF2	22.67	140.6
3	ACH	41	COO	103.5	317.6
3	ACH	42	SiH2	-432.3	787.9
3	ACH	43	SiO	238.9	234.4
3	ACH	44	NMP	30.04	-23.88
3	ACH	45	CClF	-88.11	167.9
3	ACH	47	OCCOH	333.3	-86.88
3	ACH	49	Morpholine	-59.58	142.9
3	ACH	50	Thiophene	-39.16	23.93
3	ACH	52	CH2SuCH2	360.82	47.05
3	ACH	53	Oxides	171.49	344.42
3	ACH	54	Anhydride	272.33	165.18
3	ACH	55	Aromatic Nitrile	22.06	920.49
3	ACH	56	Aromatic Bromo	174.35	-106.7
4	ACCH2	1	CH2	-69.7	76.5
4	ACCH2	2	C=C	-113.6	74.15
4	ACCH2	3	ACH	-146.8	167
4	ACCH2	4	ACCH2	0	0
4	ACCH2	5	OH	803.2	25.82
4	ACCH2	6	MeOH	603.25	-44.5
4	ACCH2	7	H2O	5695	377.6
4	ACCH2	8	ACOH	884.9	244.2
4	ACCH2	9	CH2CO	-52.1	365.8
4	ACCH2	10	CHO	586.6	106
4	ACCH2	11	COOC	5688	-170
4	ACCH2	12	HCOO	197.8	428
4	ACCH2	13	CH2O	213.1	65.69
4	ACCH2	14	CNH2	19.02	296.4
4	ACCH2	15	CNH	-49.29	223
4	ACCH2	16	C3N	23.5	109.9
4	ACCH2	17	ACNH2	664.2	762.8
4	ACCH2	18	Pyridine	52.8	49.8
4	ACCH2	19	CCN	6096	-138.4
4	ACCH2	20	COOH	872.3	89.86
4	ACCH2	21	CCl	-114.1	122.9
4	ACCH2	22	CCl2	-111	140.8
4	ACCH2	23	CCl3	-80.25	69.9
4	ACCH2	24	CCl4	-141.3	134.7
4	ACCH2	25	ACCl	-211	402.5
4	ACCH2	26	CNO2	3629	-97.05
4	ACCH2	27	ACNO2	4448	-127.8
4	ACCH2	28	CS2	-9.451	40.68
4	ACCH2	29	CH3SH	393.6	19.56
4	ACCH2	30	Furfural	48.49	128.8
4	ACCH2	31	DOH	4975	150.6
4	ACCH2	32	I	259	26.41
4	ACCH2	33	Br	210	1112
4	ACCH2	34	C#C	-152.55	614.52
4	ACCH2	35	DMSO	4284	-143.2
4	ACCH2	36	ACRY	-119.2	397.4
4	ACCH2	37	ClCC	-282.5	419.1
4	ACCH2	38	ACF	101.4	-157.3
4	ACCH2	39	DMF	5629	-240.2
4	ACCH2	40	CF2	-245.39	839.83
4	ACCH2	41	COO	69.26	615.8
4	ACCH2	42	SiH2	683.3	191.6
4	ACCH2	43	SiO	355.5	221.8
4	ACCH2	44	NMP	46.38	6.214
4	ACCH2	47	OCCOH	421.9	-19.45
4	ACCH2	49	Morpholine	-203.6	274.1
4	ACCH2	50	Thiophene	184.9	2.845
4	ACCH2	52	CH2SuCH2	233.51	347.13
4	ACCH2	53	Oxides	-184.68	510.32
4	ACCH2	54	Anhydride	9.63	369.89
4	ACCH2	55	Aromatic Nitrile	795.38	305.77
4	ACCH2	56	Aromatic Bromo	-280.9	568.47
5	OH	1	CH2	156.4	986.5
5	OH	2	C=C	457	524.1
5	OH	3	ACH	89.6	636.1
5	OH	4	ACCH2	25.82	803.2
5	OH	5	OH	0	0
5	OH	6	MeOH	-137.1	249.1
5	OH	7	H2O	353.5	-229.1
5	OH	8	ACOH	-259.7	-451.6
5	OH	9	CH2CO	84	164.5
5	OH	10	CHO	-203.6	529
5	OH	11	COOC	101.1	245.4
5	OH	12	HCOO	267.8	139.4
5	OH	13	CH2O	28.06	237.7
5	OH	14	CNH2	83.02	-242.8
5	OH	15	CNH	42.7	-150
5	OH	16	C3N	-323	28.6
5	OH	17	ACNH2	-52.39	-17.4
5	OH	18	Pyridine	170	-132.3
5	OH	19	CCN	6.712	185.4
5	OH	20	COOH	199	-151
5	OH	21	CCl	75.62	562.2
5	OH	22	CCl2	65.28	527.6
5	OH	23	CCl3	-98.12	742.1
5	OH	24	CCl4	143.1	856.3
5	OH	25	ACCl	123.5	325.7
5	OH	26	CNO2	256.5	261.6
5	OH	27	ACNO2	157.1	561.6
5	OH	28	CS2	488.9	609.8
5	OH	29	CH3SH	147.5	461.6
5	OH	30	Furfural	-120.5	521.6
5	OH	31	DOH	-318.9	267.6
5	OH	32	I	313.5	501.3
5	OH	33	Br	202.1	524.9
5	OH	34	C#C	727.8	68.95
5	OH	35	DMSO	-202.1	-25.87
5	OH	36	ACRY	74.27	389.3
5	OH	37	ClCC	225.8	738.9
5	OH	38	ACF	44.78	649.7
5	OH	39	DMF	-143.9	64.16
5	OH	41	COO	190.3	88.63
5	OH	42	SiH2	-817.7	1913
5	OH	43	SiO	202.7	84.85
5	OH	44	NMP	-504.2	796.9
5	OH	45	CClF	72.96	794.4
5	OH	46	CON	-382.7	394.8
5	OH	47	OCCOH	-248.3	517.5
5	OH	49	Morpholine	104.7	-61.2
5	OH	50	Thiophene	57.65	682.5
5	OH	52	CH2SuCH2	215.81	72.19
5	OH	53	Oxides	6.39	244.67
5	OH	56	Aromatic Bromo	147.97	284.28
6	MeOH	1	CH2	16.51	697.2
6	MeOH	2	C=C	-12.52	787.6
6	MeOH	3	ACH	-50	637.35
6	MeOH	4	ACCH2	-44.5	603.25
6	MeOH	5	OH	249.1	-137.1
6	MeOH	6	MeOH	0	0
6	MeOH	7	H2O	-181	289.6
6	MeOH	8	ACOH	-101.7	-265.2
6	MeOH	9	CH2CO	23.39	108.7
6	MeOH	10	CHO	306.4	-340.2
6	MeOH	11	COOC	-10.72	249.63
6	MeOH	12	HCOO	179.7	227.8
6	MeOH	13	CH2O	-128.6	238.4
6	MeOH	14	CNH2	359.3	-481.7
6	MeOH	15	CNH	-20.98	-370.3
6	MeOH	16	C3N	53.9	-406.8
6	MeOH	17	ACNH2	489.7	-118.1
6	MeOH	18	Pyridine	580.5	-378.2
6	MeOH	19	CCN	53.28	162.6
6	MeOH	20	COOH	-202	339.8
6	MeOH	21	CCl	-38.32	529
6	MeOH	22	CCl2	-102.5	669.9
6	MeOH	23	CCl3	-139.4	649.1
6	MeOH	24	CCl4	-44.76	709.6
6	MeOH	25	ACCl	-28.25	612.8
6	MeOH	26	CNO2	75.14	252.6
6	MeOH	27	ACNO2	457.88	511.29
6	MeOH	28	CS2	-31.09	914.2
6	MeOH	29	CH3SH	17.5	448.6
6	MeOH	30	Furfural	-61.76	287
6	MeOH	31	DOH	-119.2	240.8
6	MeOH	32	I	212.1	431.3
6	MeOH	33	Br	106.3	494.7
6	MeOH	34	C#C	-119.1	967.71
6	MeOH	35	DMSO	-399.3	695
6	MeOH	36	ACRY	-5.224	218.8
6	MeOH	37	ClCC	33.47	528
6	MeOH	38	ACF	-48.25	645.9
6	MeOH	39	DMF	-172.4	172.2
6	MeOH	41	COO	165.7	171
6	MeOH	45	CClF	-52.1	762.7
6	MeOH	48	CH2S	37.63	420
6	MeOH	49	Morpholine	-59.4	-89.24
6	MeOH	50	Thiophene	-46.01	597.8
6	MeOH	52	CH2SuCH2	150.02	265.75
6	MeOH	53	Oxides	98.2	163.76
7	H2O	1	CH2	300	1318
7	H2O	2	C=C	496.1	270.6
7	H2O	3	ACH	362.3	903.8
7	H2O	4	ACCH2	377.6	5695
7	H2O	5	OH	-229.1	353.5
7	H2O	6	MeOH	289.6	-181
7	H2O	7	H2O	0	0
7	H2O	8	ACOH	324.5	-601.8
7	H2O	9	CH2CO	-195.4	472.5
7	H2O	10	CHO	-116	480.8
7	H2O	11	COOC	72.87	200.8
7	H2O	12	HCOO	233.87	124.63
7	H2O	13	CH2O	540.5	-314.7
7	H2O	14	CNH2	48.89	-330.48
7	H2O	15	CNH	168	-448.2
7	H2O	16	C3N	304	-598.8
7	H2O	17	ACNH2	459	-341.6
7	H2O	18	Pyridine	459	-332.9
7	H2O	19	CCN	112.6	242.8
7	H2O	20	COOH	-14.09	-66.17
7	H2O	21	CCl	325.4	698.2
7	H2O	22	CCl2	370.4	708.7
7	H2O	23	CCl3	353.7	826.76
7	H2O	24	CCl4	497.5	1201
7	H2O	25	ACCl	133.9	-274.5
7	H2O	26	CNO2	220.6	417.9
7	H2O	27	ACNO2	399.5	360.7
7	H2O	28	CS2	887.1	1081
7	H2O	30	Furfural	188	23.48
7	H2O	31	DOH	12.72	-137.4
7	H2O	33	Br	777.1	79.18
7	H2O	35	DMSO	-139	-240
7	H2O	36	ACRY	160.8	386.6
7	H2O	39	DMF	319	-287.1
7	H2O	41	COO	-197.5	284.4
7	H2O	42	SiH2	-363.8	180.2
7	H2O	44	NMP	-452.2	832.2
7	H2O	46	CON	835.6	-509.3
7	H2O	47	OCCOH	139.6	-205.7
7	H2O	49	Morpholine	407.9	-384.3
7	H2O	52	CH2SuCH2	-255.63	627.39
7	H2O	53	Oxides	-144.77	833.21
7	H2O	56	Aromatic Bromo	580.28	401.2
8	ACOH	1	CH2	275.8	1333
8	ACOH	2	C=C	217.5	526.1
8	ACOH	3	ACH	25.34	1329
8	ACOH	4	ACCH2	244.2	884.9
8	ACOH	5	OH	-451.6	-259.7
8	ACOH	6	MeOH	-265.2	-101.7
8	ACOH	7	H2O	-601.8	324.5
8	ACOH	8	ACOH	0	0
8	ACOH	9	CH2CO	-356.1	-133.1
8	ACOH	10	CHO	-271.1	-155.6
8	ACOH	11	COOC	-449.4	-36.72
8	ACOH	12	HCOO	-32.52	-234.25
8	ACOH	13	CH2O	-162.9	-178.5
8	ACOH	14	CNH2	-832.97	-870.8
8	ACOH	17	ACNH2	-305.5	-253.1
8	ACOH	18	Pyridine	-305.5	-341.6
8	ACOH	20	COOH	408.9	-11
8	ACOH	22	CCl2	517.27	1633.5
8	ACOH	24	CCl4	1827	10000
8	ACOH	25	ACCl	6915	622.3
8	ACOH	27	ACNO2	-413.48	815.12
8	ACOH	28	CS2	8484	1421
8	ACOH	31	DOH	-687.1	838.4
8	ACOH	41	COO	-494.2	-167.3
8	ACOH	44	NMP	-659	-234.7
8	ACOH	50	Thiophene	1005	810.5
9	CH2CO	1	CH2	26.76	476.4
9	CH2CO	2	C=C	42.92	182.6
9	CH2CO	3	ACH	140.1	25.77
9	CH2CO	4	ACCH2	365.8	-52.1
9	CH2CO	5	OH	164.5	84
9	CH2CO	6	MeOH	108.7	23.39
9	CH2CO	7	H2O	472.5	-195.4
9	CH2CO	8	ACOH	-133.1	-356.1
9	CH2CO	9	CH2CO	0	0
9	CH2CO	10	CHO	-37.36	128
9	CH2CO	11	COOC	-213.7	372.2
9	CH2CO	12	HCOO	-190.4	385.4
9	CH2CO	13	CH2O	-103.6	191.1
9	CH2CO	15	CNH	-174.2	394.6
9	CH2CO	16	C3N	-169	225.3
9	CH2CO	17	ACNH2	6201	-450.3
9	CH2CO	18	Pyridine	7.341	29.1
9	CH2CO	19	CCN	481.7	-287.5
9	CH2CO	20	COOH	669.4	-297.8
9	CH2CO	21	CCl	-191.7	286.3
9	CH2CO	22	CCl2	-130.3	82.86
9	CH2CO	23	CCl3	-354.6	552.1
9	CH2CO	24	CCl4	-39.2	372
9	CH2CO	25	ACCl	-119.8	518.4
9	CH2CO	26	CNO2	137.5	-142.6
9	CH2CO	27	ACNO2	548.5	-101.5
9	CH2CO	28	CS2	216.1	303.7
9	CH2CO	29	CH3SH	-46.28	160.6
9	CH2CO	30	Furfural	-163.7	317.5
9	CH2CO	31	DOH	71.46	135.4
9	CH2CO	32	I	53.59	138
9	CH2CO	33	Br	245.2	-142.6
9	CH2CO	34	C#C	-246.6	443.6
9	CH2CO	35	DMSO	-44.58	110.4
9	CH2CO	36	ACRY	-63.5	114.55
9	CH2CO	37	ClCC	-34.57	-40.9
9	CH2CO	39	DMF	-61.7	97.04
9	CH2CO	41	COO	-18.8	123.4
9	CH2CO	42	SiH2	-588.9	992.4
9	CH2CO	47	OCCOH	37.54	156.4
9	CH2CO	50	Thiophene	-162.6	278.8
9	CH2CO	53	Oxides	-288.94	569.18
9	CH2CO	54	Anhydride	91.01	-62.02
9	CH2CO	56	Aromatic Bromo	179.74	106.21
10	CHO	1	CH2	505.7	677
10	CHO	2	C=C	56.3	448.8
10	CHO	3	ACH	23.39	347.3
10	CHO	4	ACCH2	106	586.6
10	CHO	5	OH	529	-203.6
10	CHO	6	MeOH	-340.2	306.4
10	CHO	7	H2O	480.8	-116
10	CHO	8	ACOH	-155.6	-271.1
10	CHO	9	CH2CO	128	-37.36
10	CHO	10	CHO	0	0
10	CHO	11	COOC	-110.3	185.1
10	CHO	12	HCOO	766	-236.5
10	CHO	13	CH2O	304.1	-7.838
10	CHO	19	CCN	-106.4	224.66
10	CHO	20	COOH	497.5	-165.5
10	CHO	21	CCl	751.9	-47.51
10	CHO	22	CCl2	67.52	190.6
10	CHO	23	CCl3	-483.7	242.8
10	CHO	32	I	117	245.9
10	CHO	34	C#C	2.21	-55.87
10	CHO	36	ACRY	-339.2	354
10	CHO	37	ClCC	172.4	183.8
10	CHO	39	DMF	-268.8	13.89
10	CHO	41	COO	-275.5	577.5
10	CHO	53	Oxides	79.71	-1.25
11	COOC	1	CH2	114.8	232.1
11	COOC	2	C=C	132.1	37.85
11	COOC	3	ACH	85.84	5.994
11	COOC	4	ACCH2	-170	5688
11	COOC	5	OH	245.4	101.1
11	COOC	6	MeOH	249.63	-10.72
11	COOC	7	H2O	200.8	72.87
11	COOC	8	ACOH	-36.72	-449.4
11	COOC	9	CH2CO	372.2	-213.7
11	COOC	10	CHO	185.1	-110.3
11	COOC	11	COOC	0	0
11	COOC	12	HCOO	-241.8	1167
11	COOC	13	CH2O	-235.7	461.3
11	COOC	15	CNH	-73.5	136
11	COOC	16	C3N	-196.7	2889
11	COOC	17	ACNH2	475.5	-294.8
11	COOC	18	Pyridine	-0.13	8.87
11	COOC	19	CCN	494.6	-266.6
11	COOC	20	COOH	660.2	-256.3
11	COOC	21	CCl	-34.74	35.38
11	COOC	22	CCl2	108.9	-132.9
11	COOC	23	CCl3	-209.7	176.5
11	COOC	24	CCl4	54.57	129.5
11	COOC	25	ACCl	442.4	-171.1
11	COOC	26	CNO2	-81.13	129.3
11	COOC	28	CS2	183	243.8
11	COOC	30	Furfural	202.3	-146.3
11	COOC	31	DOH	-101.7	152
11	COOC	32	I	148.3	21.92
11	COOC	33	Br	18.88	24.37
11	COOC	34	C#C	71.48	-111.45
11	COOC	35	DMSO	52.08	41.57
11	COOC	36	ACRY	-28.61	175.5
11	COOC	37	ClCC	-275.2	611.3
11	COOC	39	DMF	85.33	-82.12
11	COOC	41	COO	560.2	-234.9
11	COOC	47	OCCOH	151.8	-3.444
11	COOC	53	Oxides	36.34	-38.4
11	COOC	54	Anhydride	446.9	-229.01
12	HCOO	1	CH2	329.3	507
12	HCOO	2	C=C	110.4	333.5
12	HCOO	3	ACH	18.12	287.1
12	HCOO	4	ACCH2	428	197.8
12	HCOO	5	OH	139.4	267.8
12	HCOO	6	MeOH	227.8	179.7
12	HCOO	7	H2O	124.63	233.87
12	HCOO	8	ACOH	-234.25	-32.52
12	HCOO	9	CH2CO	385.4	-190.4
12	HCOO	10	CHO	-236.5	766
12	HCOO	11	COOC	1167	-241.8
12	HCOO	12	HCOO	0	0
12	HCOO	13	CH2O	-234	457.3
12	HCOO	18	Pyridine	-233.4	554.4
12	HCOO	19	CCN	-47.25	99.37
12	HCOO	20	COOH	-268.1	193.9
12	HCOO	22	CCl2	31	80.99
12	HCOO	23	CCl3	-126.2	235.6
12	HCOO	24	CCl4	179.7	351.9
12	HCOO	25	ACCl	24.28	383.3
12	HCOO	29	CH3SH	103.9	201.5
12	HCOO	33	Br	298.13	-92.26
12	HCOO	37	ClCC	-11.4	134.5
12	HCOO	39	DMF	308.9	-116.7
12	HCOO	41	COO	-70.24	65.37
12	HCOO	53	Oxides	-77.96	69.7
13	CH2O	1	CH2	83.36	251.5
13	CH2O	2	C=C	26.51	214.5
13	CH2O	3	ACH	52.13	32.14
13	CH2O	4	ACCH2	65.69	213.1
13	CH2O	5	OH	237.7	28.06
13	CH2O	6	MeOH	238.4	-128.6
13	CH2O	7	H2O	-314.7	540.5
13	CH2O	8	ACOH	-178.5	-162.9
13	CH2O	9	CH2CO	191.1	-103.6
13	CH2O	10	CHO	-7.838	304.1
13	CH2O	11	COOC	461.3	-235.7
13	CH2O	12	HCOO	457.3	-234
13	CH2O	13	CH2O	0	0
13	CH2O	14	CNH2	-78.36	222.1
13	CH2O	15	CNH	251.5	-56.08
13	CH2O	16	C3N	5422.3	-194.1
13	CH2O	17	ACNH2	-46.39	285.36
13	CH2O	18	Pyridine	213.2	-156.1
13	CH2O	19	CCN	-18.51	38.81
13	CH2O	20	COOH	664.6	-338.5
13	CH2O	21	CCl	301.1	225.4
13	CH2O	22	CCl2	137.8	-197.7
13	CH2O	23	CCl3	-154.3	-20.93
13	CH2O	24	CCl4	47.67	113.9
13	CH2O	25	ACCl	134.8	-25.15
13	CH2O	26	CNO2	95.18	-94.49
13	CH2O	27	ACNO2	155.11	220.66
13	CH2O	28	CS2	140.9	112.4
13	CH2O	29	CH3SH	-8.538	63.71
13	CH2O	30	Furfural	170.1	-87.31
13	CH2O	31	DOH	-20.11	9.207
13	CH2O	32	I	-149.5	476.6
13	CH2O	33	Br	-202.3	736.4
13	CH2O	34	C#C	-156.57	173.77
13	CH2O	35	DMSO	128.8	-93.51
13	CH2O	37	ClCC	240.2	-217.9
13	CH2O	38	ACF	-273.9	167.1
13	CH2O	39	DMF	254.8	-158.2
13	CH2O	40	CF2	-172.51	278.15
13	CH2O	41	COO	417	-247.8
13	CH2O	42	SiH2	1338	448.5
13	CH2O	53	Oxides	567	-375.6
13	CH2O	54	Anhydride	102.21	-196.59
14	CNH2	1	CH2	-30.48	391.5
14	CNH2	2	C=C	1.163	240.9
14	CNH2	3	ACH	-44.85	161.7
14	CNH2	4	ACCH2	296.4	19.02
14	CNH2	5	OH	-242.8	83.02
14	CNH2	6	MeOH	-481.7	359.3
14	CNH2	7	H2O	-330.48	48.89
14	CNH2	8	ACOH	-870.8	-832.97
14	CNH2	13	CH2O	222.1	-78.36
14	CNH2	14	CNH2	0	0
14	CNH2	15	CNH	-107.2	127.4
14	CNH2	16	C3N	-41.11	38.89
14	CNH2	17	ACNH2	-200.7	-15.07
14	CNH2	19	CCN	358.9	-157.3
14	CNH2	21	CCl	-82.92	131.2
14	CNH2	24	CCl4	-99.81	261.1
14	CNH2	25	ACCl	30.05	108.5
14	CNH2	29	CH3SH	-70.14	106.7
14	CNH2	35	DMSO	874.19	-366.51
14	CNH2	39	DMF	-164	49.7
14	CNH2	42	SiH2	-664.4	961.8
14	CNH2	43	SiO	275.9	-125.2
15	CNH	1	CH2	65.33	255.7
15	CNH	2	C=C	-28.7	163.9
15	CNH	3	ACH	-22.31	122.8
15	CNH	4	ACCH2	223	-49.29
15	CNH	5	OH	-150	42.7
15	CNH	6	MeOH	-370.3	-20.98
15	CNH	7	H2O	-448.2	168
15	CNH	9	CH2CO	394.6	-174.2
15	CNH	11	COOC	136	-73.5
15	CNH	13	CH2O	-56.08	251.5
15	CNH	14	CNH2	127.4	-107.2
15	CNH	15	CNH	0	0
15	CNH	16	C3N	-189.2	865.9
15	CNH	17	ACNH2	138.54	64.3
15	CNH	18	Pyridine	431.49	-207.66
15	CNH	19	CCN	147.1	-108.5
15	CNH	24	CCl4	71.23	91.13
15	CNH	25	ACCl	-18.93	102.2
15	CNH	31	DOH	939.07	-213.74
15	CNH	38	ACF	570.9	-198.8
15	CNH	39	DMF	-255.22	10.03
15	CNH	41	COO	-38.77	284.5
15	CNH	42	SiH2	448.1	1464
15	CNH	43	SiO	-1327	1604
16	C3N	1	CH2	-83.98	206.6
16	C3N	2	C=C	-25.38	61.11
16	C3N	3	ACH	-223.9	90.49
16	C3N	4	ACCH2	109.9	23.5
16	C3N	5	OH	28.6	-323
16	C3N	6	MeOH	-406.8	53.9
16	C3N	7	H2O	-598.8	304
16	C3N	9	CH2CO	225.3	-169
16	C3N	11	COOC	2889	-196.7
16	C3N	13	CH2O	-194.1	5422.3
16	C3N	14	CNH2	38.89	-41.11
16	C3N	15	CNH	865.9	-189.2
16	C3N	16	C3N	0	0
16	C3N	17	ACNH2	287.43	-24.46
16	C3N	19	CCN	1255.1	-446.86
16	C3N	21	CCl	-182.91	151.38
16	C3N	22	CCl2	-73.85	-141.4
16	C3N	23	CCl3	-352.9	-293.7
16	C3N	24	CCl4	-262	316.9
16	C3N	25	ACCl	-181.9	2951
16	C3N	35	DMSO	243.1	-257.2
16	C3N	38	ACF	-196.3	116.5
16	C3N	39	DMF	22.05	-185.2
17	ACNH2	1	CH2	1139	920.7
17	ACNH2	2	C=C	2000	749.3
17	ACNH2	3	ACH	247.5	648.2
17	ACNH2	4	ACCH2	762.8	664.2
17	ACNH2	5	OH	-17.4	-52.39
17	ACNH2	6	MeOH	-118.1	489.7
17	ACNH2	7	H2O	-341.6	459
17	ACNH2	8	ACOH	-253.1	-305.5
17	ACNH2	9	CH2CO	-450.3	6201
17	ACNH2	11	COOC	-294.8	475.5
17	ACNH2	13	CH2O	285.36	-46.39
17	ACNH2	14	CNH2	-15.07	-200.7
17	ACNH2	15	CNH	64.3	138.54
17	ACNH2	16	C3N	-24.46	287.43
17	ACNH2	17	ACNH2	0	0
17	ACNH2	18	Pyridine	89.7	117.4
17	ACNH2	19	CCN	-281.6	777.4
17	ACNH2	20	COOH	-396	493.8
17	ACNH2	21	CCl	287	429.7
17	ACNH2	22	CCl2	-111	140.8
17	ACNH2	24	CCl4	882	898.2
17	ACNH2	25	ACCl	617.5	334.9
17	ACNH2	27	ACNO2	-139.3	134.9
17	ACNH2	31	DOH	0.1004	192.3
17	ACNH2	39	DMF	-334.4	343.7
17	ACNH2	41	COO	-89.42	-22.1
18	Pyridine	1	CH2	-101.6	287.77
18	Pyridine	2	C=C	-47.63	280.5
18	Pyridine	3	ACH	31.87	-4.449
18	Pyridine	4	ACCH2	49.8	52.8
18	Pyridine	5	OH	-132.3	170
18	Pyridine	6	MeOH	-378.2	580.5
18	Pyridine	7	H2O	-332.9	459
18	Pyridine	8	ACOH	-341.6	-305.5
